smurn-ec2-plugi,smurn-ec2-plugin,None
Snaipe-CraftBukki,Snaipe-CraftBukkit,None
SorinS-gwt-maven-plugi,SorinS-gwt-maven-plugin,None
spriyan-LimitedProx,spriyan-LimitedProxy,None
stephlag-spring-elasticsearc,stephlag-spring-elasticsearch,None
Studentmediene-barwe,Studentmediene-barweb,None
stylight-graylog2-serve,stylight-graylog2-server,None
sureshg-DroidAtScreen,sureshg-DroidAtScreen1,None
svinci-backoffic,svinci-backoffice,None
svinci-hc-s,svinci-hc-sm,None
tadodotcom-mqtt-test-sui,tadodotcom-mqtt-test-suit,None
taimos-Camel-Cos,taimos-Camel-Cosm,None
taimos-camel-gps,taimos-camel-gpsd,None
taimos-xively4,taimos-xively4j,None
timsterling-EventSy,timsterling-EventSys,None
tkc49-hellogitworl,tkc49-hellogitworld,None
TNG-vendingmachin,TNG-vendingmachine,None
TNG-yet-another-commit-checke,TNG-yet-another-commit-checker,None
toddobryan-test-jd,toddobryan-test-jdo,None
tori3852-jersey_1_x_testin,tori3852-jersey_1_x_testing,None
tsalmon-mavenTes,tsalmon-mavenTest,None
tuscanhobbit-redstat,tuscanhobbit-redstats,None
unakatsuo-github-oauth-plugi,unakatsuo-github-oauth-plugin,None
vcosk-SearchTestRobo,vcosk-SearchTestRobot,None
VEINHORN-CircuitCreato,VEINHORN-CircuitCreator,None
volcomism-elasticsearch-cloud-aw,volcomism-elasticsearch-cloud-aws,None
voor-yeoman-maven-plugi,voor-yeoman-maven-plugin,None
VXCompany-SpockSnippet,VXCompany-SpockSnippets,None
weak-timeserie,weak-timeseries,None
WenkeL-tutoria,WenkeL-tutorial,None
winters1224-juni,winters1224-junit,None
winters1224-scribe-jav,winters1224-scribe-java,None
wrey75-commafee,wrey75-commafeed,None
wrey75-java-apn,wrey75-java-apns,None
wrey75-mustache-spring-vie,wrey75-mustache-spring-view,None
wumpz-antdocle,wumpz-antdoclet,None
wumpz-JSqlParse,wumpz-JSqlParser,None
YamYamM-parallelprox,YamYamM-parallelproxy,None
yixuanx-SecureSOA,yixuanx-SecureSOAP,None
yukiyan-java-ee-6-web-archetyp,yukiyan-java-ee-6-web-archetype,None
zabil-coderetreat-jav,zabil-coderetreat-java,None
zabil-openmrs-tes,zabil-openmrs-test,None
zwbn57175596-jedi,zwbn57175596-jedis,None
zwbn57175596-Redis_Read,zwbn57175596-Redis_Ready,None
