User,Repo,Size (KB),Number of Contributors
cjstehno,sanctuary,120,1
cjstehno,sjdbcx,416,1
cjwebb,basic-java-agent,132,1
cjwebb,command-line-twitter,188,1
clairtonluz,bytecom-commons,148,2
clairtonluz,exampleJSFBootstrap,348,1
clairtonluz,hurraa,855,11
clairtonluz,mongodb,208,1
clairtonluz,taro,218,3
CloCkWeRX,build-pipeline-plugin,2067,20
cloudControl,doozer4j,2317,1
cmaurer,kite,196,2
cmaurer,mongodb-plugin,169,2
cnopens,activiti-advanced-scripting,48,1
cnopens,activiti-custom-command,113,1
cnopens,activiti-demo-1,664,2
cnopens,activiti-neo4j,82,1
cnopens,activiti-unit-test-template,128,1
cnuonline,aes-example,285,0
cnuonline,http-request-router,408,2
cnuonline,piwik-java-tracking,206,6
cnuonline,scribe-java,1888,39
CODE4US,scribe-java,959,36
codyaray,kairosdb-client,251,2
codyaray,rocoto,2563,2
compwron,BiteMeAndroid,7045,8
ConnorStroomberg,jena-es,332,3
coreydowning,deckard,133,4
coreyoconnor,git-plugin,1788,45
coreyoconnor,greenballs-plugin,237,6
Corosauce,Bukkit,80,98
cortizqgithub,herokuapp001,108,1
coryt,browsermob-proxy,2216,11
cosmocode,cosmocode-commons,896,2
cosmocode,cosmocode-hibernate,144,0
cosmocode,cosmocode-json,324,0
cosmocode,cosmocode-json-jackson,132,0
cosmocode,cosmocode-lucene,249,1
cosmocode,cosmocode-rendering,272,0
cosmocode,cosmocode-solr,628,0
craigwblake,async-http-client,5901,13
craigwblake,HdrHistogram,715,4
craigwblake,jcurses-maven,175,2
crc32a,jedis,816,37
cristoslc,glacieruploader,9274,4
crooy,apache_mina_test,4456,1
cscotta,JavaBeanstalkClient,128,2
cscotta,Octobot,9133,4
cscotta,recordinality,121,1
cscotta,riak-java-client,7750,28
csm,couchdb-lucene,4633,13
csm,gelfj,356,31
curasystems,graylog2-server,4141,11
cwensel,Flapi,4282,2
cwensel,jopt-simple,706,3
cwensel,linq4j,727,3
cwensel,optiq,3770,2
czetsuya,JAX-RS-REST-Security,168,1
czetsuya,The-Mall-Mall,272,1
d0ngw,cascading_ext,12849,4
d0ngw,Hive-JSON-Serde,322,4
d2fn,hector,12240,2
d2fn,jester,282,2
damko,funambol-ldap,264,1
damnhandy,Handy-URI-Templates,4676,10
damnhandy,Handy-URI-Templates-WebApp,148,1
dampier,mongo-java-driver,10901,47
dana-i2cat,netconf4j,865,10
dana-i2cat,netconf-server,250,4
